,categories
0,"Restaurants, Chicken Wings, Sandwiches, Pizza"
1,"Hot Dogs, American (Traditional), Restaurants, Pizza, Burgers, Cheesesteaks, Sandwiches"
2,"Chicken Wings, Fast Food, Restaurants, Chicken Shop"
3,"Restaurants, American (New), Desserts, Beer Bar, Nightlife, American (Traditional), Food, Salad, Bars"
4,"Tex-Mex, Mexican, Restaurants, Vegetarian"
5,"Coffee & Tea, Food, Restaurants, American (New)"
6,"Fast Food, Sandwiches, Restaurants, Mediterranean"
7,"Food, Macarons, Specialty Food, Patisserie/Cake Shop, Restaurants, Bakeries, Custom Cakes, Chocolatiers & Shops"
8,"Event Planning & Services, Caterers, Wedding Planning, Venues & Event Spaces, American (New), Restaurants"
9,"Mediterranean, Sandwiches, Fast Food, Restaurants, American (Traditional)"
10,"Seafood, American (Traditional), Restaurants"
11,"Pizza, American (Traditional), Sandwiches, Restaurants, Italian"
12,"Fast Food, Chicken Wings, Salad, Restaurants"
13,"Restaurants, Bagels, Donuts, Food, Breakfast & Brunch"
14,"Food, Health Markets, Vegetarian, Specialty Food, Salad, Restaurants"
15,"Delis, Vegetarian, Restaurants, Italian, Local Flavor"
16,"American (Traditional), Diners, Bakeries, Breakfast & Brunch, Food, Restaurants"
17,"Desserts, Italian, Restaurants, Pizza, Food, Bakeries"
18,"Indian, Halal, Restaurants"
19,"Fruits & Veggies, Specialty Food, Food, Sandwiches, Italian, Coffee & Tea, Restaurants"
20,"Bagels, Restaurants, Cafes, Food, Coffee & Tea"
21,"Mexican, Restaurants, Tacos, Nightlife, Bars"
22,"Venezuelan, Food Trucks, Food, Restaurants, Latin American"
23,"Japanese, Street Vendors, Restaurants, Food Trucks, Food"
24,"Hot Dogs, Restaurants, Specialty Food, Ice Cream & Frozen Yogurt, Candy Stores, Food"
25,"Cafes, Wraps, Breakfast & Brunch, Salad, American (Traditional), Soup, Restaurants, Sandwiches"
26,"Restaurants, Chicken Wings, Fish & Chips"
27,"Buffets, Chinese, Japanese, Restaurants"
28,"Japanese, Food, Tapas/Small Plates, Restaurants"
29,"Cocktail Bars, Bars, Restaurants, Nightlife, Burgers, Tacos, Mexican"
30,"Bakeries, Coffee & Tea, Restaurants, Food"
31,"Restaurants, Lounges, Steakhouses, Seafood, Nightlife, Bars"
32,"Restaurants, Pizza, American (Traditional), American (New), Italian"
33,"Restaurants, Coffee & Tea, Breakfast & Brunch, Food, Cafes"
34,"Korean, Food, Restaurants, Grocery, Specialty Food, Seafood Markets, Food Court"
35,"Food Stands, Restaurants"
36,"Mexican, Restaurants, Latin American, Colombian"
37,"Drugstores, American (New), Caterers, Event Planning & Services, Cafes, Comfort Food, Restaurants, Food, Food Trucks, Shopping, Nightlife, Bars, Beer Bar, Gastropubs, Breakfast & Brunch, Coffee & Tea"
38,"Nightlife, Restaurants, Sports Bars, Bars, American (New)"
39,"Italian, Delis, Restaurants"
40,"American (Traditional), Fast Food, Chicken Wings, Sandwiches, Soul Food, Restaurants, Breakfast & Brunch"
41,"Breakfast & Brunch, Bars, American (Traditional), Restaurants, Nightlife"
42,"Korean, Restaurants"
43,"Breakfast & Brunch, Sandwiches, Coffee & Tea, Hotels, Restaurants, Event Planning & Services, Hotels & Travel, Food"
44,"Food, Restaurants, Nightlife, Beer, Wine & Spirits, Irish Pub, Bars, American (Traditional)"
45,"Nightlife, Restaurants, Beer Bar, Bars, Pubs, Pizza"
46,"Restaurants, Themed Cafes, Venues & Event Spaces, Breakfast & Brunch, Caterers, Cafes, Coffee & Tea, Event Planning & Services, Food"
47,"Pizza, Italian, Sandwiches, Restaurants"
48,"Food, Smokehouse, Cajun/Creole, Restaurants, Seafood"
49,"American (Traditional), Pizza, Restaurants"
50,"Nightlife, Restaurants, Italian, Mediterranean, Bars, Wine Bars, Greek"
51,"Fondue, Restaurants"
52,"Asian Fusion, Noodles, Vietnamese, Vegan, Restaurants, Bubble Tea, Food, Soup"
53,"Food, Japanese, Bubble Tea, Poke, Sushi Bars, Ramen, Restaurants"
54,"American (New), Breakfast & Brunch, American (Traditional), Restaurants"
55,"French, Restaurants, Canadian (New), Breakfast & Brunch"
56,"Restaurants, Filipino, Mexican, Steakhouses, Tacos, Salad, Venezuelan, Latin American"
57,"Chinese, Restaurants, Seafood"
58,"Restaurants, Pan Asian, Bars, Asian Fusion, Chinese, Cocktail Bars, Tapas/Small Plates, Nightlife"
59,"Street Vendors, Food, Restaurants, Pizza, Food Trucks, Italian"
60,"Italian, Restaurants, Sandwiches, Nightlife, Wine Bars, Bars, Salad, Pizza"
61,"Italian, Pizza, Restaurants"
62,"Sandwiches, Pizza, Restaurants"
63,"Restaurants, Event Planning & Services, Barbeque, Caterers, Party & Event Planning"
64,"Pizza, Italian, Sicilian, Restaurants, Food, Food Delivery Services, Sandwiches"
65,"Restaurants, Mexican, Burgers"
66,"Restaurants, Sandwiches, Coffee & Tea, Cafes, Food"
