,categories,cuisine
0,"Restaurants, American (New)",American Cuisine
1,"Restaurants, Sandwiches, Italian, Pizza",European Cuisine
2,"Thai, Restaurants",Asian Cuisine
3,"Food, Restaurants, Chinese",Asian Cuisine
4,"American (New), Desserts, Food, Restaurants, Sandwiches",American Cuisine
5,"Coffee & Tea, Food, Restaurants, Italian, Gelato, Ice Cream & Frozen Yogurt",European Cuisine
6,"Restaurants, Cajun/Creole, Breakfast & Brunch, Ice Cream & Frozen Yogurt, Food, Bakeries, Desserts",American Cuisine
7,"Mediterranean, Restaurants, Middle Eastern",Middle Eastern / African Cuisine
8,"Food, Seafood Markets, Restaurants, Local Flavor, Seafood, Specialty Food",Unknown
9,"Fish & Chips, Fast Food, Seafood, Restaurants, American (Traditional)",American Cuisine
10,"Restaurants, Food, Specialty Food, Bakeries, Pretzels, Delis",European Cuisine
11,"Restaurants, American (New), Breakfast & Brunch",American Cuisine
12,"Food, Coffee & Tea, Pizza, Custom Cakes, Restaurants, Bakeries",European Cuisine
13,"Restaurants, Breakfast & Brunch, Cafes, American (Traditional)",American Cuisine
14,"Chicken Wings, Salad, Pizza, Restaurants",European Cuisine
15,"Restaurants, Desserts, Ice Cream & Frozen Yogurt, Food",American Cuisine
16,"Seafood, Pizza, Italian, Restaurants, Sandwiches, American (Traditional)",European Cuisine
17,"Fast Food, Food, Burgers, Coffee & Tea, Restaurants",American Cuisine
18,"Mexican, Sandwiches, Restaurants, Latin American, Delis",South American Cuisine
19,"Hot Dogs, Restaurants",American Cuisine
20,"Food, Pizza, Middle Eastern, Restaurants",Middle Eastern / African Cuisine
21,"Restaurants, Mexican, Tex-Mex, Breakfast & Brunch, Latin American",South American Cuisine
22,"Diners, Restaurants, Food",American Cuisine
23,"Salad, Burgers, Restaurants, Sandwiches",American Cuisine
24,"Comfort Food, Cafes, Sandwiches, American (New), Gluten-Free, Restaurants",American Cuisine
25,"Restaurants, Breakfast & Brunch, Fast Food, Chicken Wings, Chicken Shop",American Cuisine
26,"Sandwiches, Restaurants",Unknown
